,company_brand,founded,headquarter,sector,what_it_does,founders,investor,amount($),stage,year
2627,NirogStreet,2016,Gurugram,Information Technology,NirogStreet is an Ayurvedic doctor discovery and appointment booking platform where patients can easily find doctors and fix consultation.,Unknown,Inflection Point Ventures,300000.0,Seed,2018
2628,Pixr8,2016,Ghaziabad,Communication Services,Pixr8 is a global media platform dedicated to Start-ups and business organisations for promoting entrepreneurship work.,Unknown,Angel investors,50000.0,Seed,2018
2629,Nivesh.com,2016,Noida,Financials,Nivesh.com is a mass market mutual funds investment platform.,Unknown,Venture Catalysts,439470.0,Seed,2018
2630,Theranosis Life Sciences,2016,Hyderabad,Health Care,A fully functioning cell culture facility and molecular biology setup.,Unknown,CIIE.CO,937536.0,Seed,2018
2631,Poshmiles Online Solutions Private Limited,2016,Bengaluru,Consumer Discretionary,Poshmiles aims to help point travellers to long weekend trips at popular and undiscovered destinations based on budget & interest.,Unknown,Venture Catalysts,937536.0,Seed,2018
2632,Reculta,2016,Noida,Information Technology,A campus recruitment solution provider.,Unknown,Inflection Point Ventures,937536.0,Seed,2018
2633,Orbo.ai,2016,Mumbai,Information Technology,Orbo is a computer vision and deep facial technology company.,Unknown,Inflection Point Ventures,937536.0,Seed,2018
2634,Inntot Technologies,2016,Kochi,Consumer Discretionary,"Inntot Technologies, is a technology driven company.",Unknown,Venture Catalysts,937536.0,Seed,2018
2635,Zoctr Health,2016,Powai,Consumer Staples,Zoctr Health Network is a first-of-its kind pan-India Home & Telehealth Company,Unknown,Venture Catalysts,937536.0,Seed,2018
2636,Hey Deedee,2016,Mumbai,Utilities,Hey Deedee is a Mumbai-based company that provides solutions to parcel delivery problems.,Unknown,"Baring Private Equity Partners India, Talbros",483417.0,Seed,2018
2637,DigiConnectt Technologys,2016,Bengaluru,Information Technology,A technology company focused on introducing products that will accelerate and enhance sales productivity and effectiveness .,Unknown,Inflection Point Ventures,125000.0,Seed,2018
2638,Locus.sh,2016,Bengaluru,Industrials,Locus is an intelligent logistics automation platform.,Unknown,Inflection Point Ventures,4000000.0,Early stage,2018
2639,Sports Flashes Pvt.,2016,Delhi,Consumer Discretionary,"Sports Flashes operates a sports content app that provides sports news, live scores, fantasy gaming, expert views, trivia, and more.",Unknown,Venture Catalysts,1000000.0,Seed,2018
2640,Inc42,2016,Delhi,Communication Services,Inc42 is one of the leading tech media publications of India.,Unknown,Angel investors,937536.0,Seed,2018
2641,Picxy,2016,Guntur,Information Technology,"A stock photo startup based in Amravati, Andhra Pradesh.",Unknown,Inflection Point Ventures,130000.0,Seed,2018
2642,Huddle,2016,Haryana,Consumer Discretionary,A coworking incubator Company.,Unknown,Venture Catalysts,300000.0,Seed,2018
2643,Benepik,2016,Gurugram,Communication Services,HR Technology start-up.,Unknown,Angel investors,937536.0,Seed,2018
2644,Cash Suvidha,2016,Delhi,Financials,Cash Suvidha is an Digital Lending Platform that provide working capital finance to SMEs and MSMEs in India.,Unknown,Venture Catalysts,1000000.0,Seed,2018
2645,Smart Coin,2016,Bengaluru,Financials,Providing financial access to the millions of mobile users in India using alternative credit assessment,Unknown,Venture Catalysts,2000000.0,Seed,2018
2646,Carmel Organics,2016,Indore,Industrials,"Carmel Organics is an India-based herb company engaged in sourcing, processing, and distributing herbal tea ingredients.",Unknown,Inflection Point Ventures,4000000.0,Early stage,2018
2647,Roadcast,2016,Delhi,Consumer Discretionary,Transforming the way businesses deliver. Work-force & fleet mobility tools.,Unknown,Venture Catalysts,250000.0,Seed,2018
2648,Printline Media(ThePrint),2016,Delhi,Communication Services,A digital news platform.,Unknown,Angel investors,511250.10000000003,Seed,2018
2649,Creditas Solutions,2016,Gurugram,Financials,Creditas was set-up in 2015 with an aim to help Financial Institutions find better ways to reach and interact with their customers.,Unknown,Venture Catalysts,937536.0,Seed,2018
2650,UrbanPiper,2016,Bengaluru,Information Technology,UrbanPiper offers restaurants and chains with a suite of products to manage and analyze their online presence.,Unknown,Inflection Point Ventures,937536.0,Seed,2018
2651,Doxper,2016,Mumbai,Consumer Staples,Doxper is Health tech startup which has created a digital pen and coded paper system for doctors to record patient information,Unknown,Venture Catalysts,1054728.0,Seed,2018
2652,i2ifunding,2016,Noida,Financials,i2ifunding is an online marketplace that connects borrowers looking for personal loans with investors looking for alternative investments.,Unknown,Venture Catalysts,732450.0,Seed,2018
2653,ShakeDeal,2016,Bengaluru,Consumer Discretionary,Home of B2B Commerce,Unknown,Venture Catalysts,937536.0,Seed,2018
2654,HelloVerify,2016,Noida,Financials,HelloVerify is an online background check platform.,Unknown,Venture Catalysts,937536.0,Seed,2018
2655,Fasal,2016,Bengaluru,Industrials,Climate Smart Precision Agriculture Platform,Unknown,Inflection Point Ventures,120000.0,Seed,2018
2656,CoinGeto,2016,Delhi,Information Technology,CoinGeto is one of India’s most advanced digital assets exchange.,Unknown,Inflection Point Ventures,1757880.0,Seed,2018
2657,Avail Finance,2016,Bengaluru,Information Technology,Avail is a mobile-first platform aiming to financially include the urban mass of India.,Unknown,Inflection Point Ventures,17200000.0,Early stage,2018
2658,Tripeur,2016,Bengaluru,Information Technology,Radical Travel Automation - Cloud Based Corporate Travel & Expense Management Software,Unknown,Inflection Point Ventures,600000.0,Seed,2018
2659,Wedeterna,2016,Bengaluru,Consumer Discretionary,"Wedeterna is a new-age, personalised and fresh approach to arranged marriages, DIY matrimonial community with only self created profiles.",Unknown,Venture Catalysts,937536.0,Seed,2018
2660,Stumagz,2016,Hyderabad,Communication Services,Stumagz is about connecting with Stories Stumagz is about collaborating with people Stumagz is about creating a Cult.,Unknown,Angel investors,937536.0,Seed,2018
2661,Doubtnut,2016,Gurugram,Information Technology,Gurgaon based E-learning platform.,Unknown,Inflection Point Ventures,512715.0,Seed,2018
2662,mCaffeine,2016,Mumbai,Consumer Discretionary,MCaffeine is India's First Caffeine Infuse Personal Care Brand. It's an extension to the hyperactive lifestyle and individualistic identity.,Unknown,Venture Catalysts,468768.0,Seed,2018
2663,TrustCheckr,2016,Bengaluru,Information Technology,A Bengaluru-based fraud analytics solution provider .,Unknown,Inflection Point Ventures,100000.0,Seed,2018
