,company_brand,founded,headquarter,sector,what_it_does,founders,investor,amount($),stage,year
584,Chai Waale,2018,Chennai,Consumer Staples,Tea Brand,Vidur Maheshwari,"Tharun Dhariwal, Sunil Kumar Singhvi, Arun Ostwal, Vishal Ostwal, Gunavanth Vaid, Bharat Kumar",232000.0,Venture - Series Unknown,2020
585,NOTO,2016,Mumbai,Consumer Staples,A brand that makes healthy icecream,"Ashni Sheth, Varun Sheth",WEH Ventures,330000.0,Pre-seed,2020
586,CueMath,2013,Bengaluru,Information Technology,It helps students to learn math online,Manan Khurma,Trifecta Capital,2888000.0,Early stage,2020
587,CARS24,2015,Gurugram,Information Technology,Online platform for selling used cars,Vikram Chopra,Vivriti Capital,1328000.0,Venture - Series Unknown,2020
588,JetSynthesys,2012,Pune,Information Technology,Digital entertainment and technology company,Rajan Navani,"Adar Poonawalla, Kris Gopalakrishnan",40000000.0,Venture - Series Unknown,2020
589,Earth Energy EV,2017,Mumbai,Information Technology,Electric vehicles startup,Rushi Shenghani,LR Joshi,937536.0,Seed,2020
590,Green Cure,2015,Delhi,Consumer Staples,It sells herbal OTC products,"Sanchit Garg, Sanjeev Dadhich",Venture Catalysts,4000000.0,Venture - Series Unknown,2020
591,Blue Sky Analytics,2018,Gurugram,Information Technology,"It is building AI-powered infrastructure to analyse air quality, pollution etc","Abhilasha, Kshitij Purwar","Beenext, Rainmatter CApital Pvt Ltd, Stanford Angels & Entrepreneurs",1200000.0,Seed,2020
592,Edhusk,2017,Jaipur,Information Technology,Provieds personalised learning to students by leveraging technology-driven models,"Anuj Bhuria, Himanshu Kumar, Himanshu Meena",Mumbai Angel Network,4000000.0,Venture - Series Unknown,2020
593,Decentro,2020,Bengaluru,Financials,Automated API-based platform that enables financial integrations.,Rohit Taneja,Y Combinator,15500000.0,Early stage,2020
594,Zolostays,2015,Bengaluru,Real Estate,It offers affordable housing apartments to young professionals and students,"Akhil Sikri, Nikhil Sikri, Sneha Choudhry","Investcorp, Nexus Venture Partners, Mirae Assets, Trifecta Capital",56000000.0,Late stage,2020
595,Frontier Markets,2011,Jaipur,Consumer Discretionary,Women entreprenuers sells products and services to rural India,Ajaitha Shah,"ENGIE RAssembleurs d'Energies, The Rise Fund, and The Singh Family Trusts,Teja Ventures, Beyond Capital Fund.",2250000.0,Early stage,2020
596,Brainwired,2018,Kerala,Industrials,India’s first livestock health monitoring company,"Sreeshankar S Nair, Romeo P Jerard","Kritik Abiram, Parthiv Rokadia, Gaurav Saraogi",4000000.0,Venture - Series Unknown,2020
597,Aye Finance,2014,Gurugram,Financials,A finance lender to SMEs,"Vikram Jetley, Sanjay Sharma",Invest in Vision,16753000.0,Late stage,2020
598,Paper Boat,2013,Gurugram,Consumer Staples,Ecommerce platform for beverages and snacks,"Neeraj Kakkar, James Nutall, Suhas Misra, Neeraj Biyani","Sofina Ventures, A91 Emerging fund, SCI Growth Investment II, Catamarann Ventures",3700000.0,Venture - Series Unknown,2020
599,Ken42,2019,Bengaluru,Information Technology,A platform that caters to evolving needs of institutions,Ganesh Raju,Turbostart,1470000.0,Venture - Series Unknown,2020
600,Forbidden Foods,2016,Delhi,Consumer Staples,Packaged snacks company,Anuj Krishnan,"Globevestor, Secocha Ventures, First Cheque VC, Kashyap Deorah, Vijay Sivaram",1000000.0,Seed,2020
601,Universal Sportsbiz,2012,Bengaluru,Consumer Discretionary,Indian fashion industry with on-trend products,Anjana Reddy,NB Ventures,530000.0,Venture - Series Unknown,2020
602,Gobbly,2016,Gurugram,Consumer Discretionary,A contactless retail store filled with fruits and veggies,Ooshma Garg,Sauce vc,500000.0,Seed,2020
603,Aerostrovilos,2016,Chennai,Consumer Discretionary,Manufactures micro gas turbines for power-based application,"Rohit Grover, Pradeep Thangappan",Mumbai Angels Network,4000000.0,Venture - Series Unknown,2020
604,Mitron,2016,Bengaluru,Communication Services,Short Video and Social Platform,"Shivank Agarwal, Anish Khandelwal","3One4 Capital, LetsVenture",267000.0,Seed,2020
605,Bulk MRO,2015,Mumbai,Consumer Discretionary,A full stack B2B platform for industrial supplies,"Devang Shah, Gaurang Shah",Stride Ventures,3344000.0,Venture - Series Unknown,2020
606,Inspektlabs,2019,Delhi,Information Technology,Focuses on building computer vision products for physical asset inspections,"Devesh Trivedi, Sanchit","Better Capital, Titan Capital",600000.0,Early stage,2020
607,Big Bang Boom Solutions,2018,Chennai,Information Technology,It developed integrated intellectual properties for defense,"Praveen Dwarkanath, Dr. Shivaraman Ramaswamy",Mumbai Angels Network,1000000.0,Early stage,2020
608,Flinto,2013,Chennai,Information Technology,It is an educational subscription-box focussed at activity-based learning for the ages 2-12,"Vijay Babu Gandhi, Shreenidhi Srirangam, Arunprasad Durairaj",Lightbox Ventures,7200000.0,Early stage,2020
609,Zetwerk,2018,Bengaluru,Real Estate,B2B marketplace that connects manufacturing companies for industrial equipements,"Amrit Acharya, Srinath Ramakkrushnan, Vishal Chaudhary",Greenoaks,21000000.0,Late stage,2020
610,ChitMonks,2016,Hyderabad,Financials,Offers enterprise private platform for chit fund firms,Pavan Adipuram,Unicorn India Ventures,650000.0,Early stage,2020
611,Walrus,2019,Bengaluru,Financials,It provides banking solutions for teens and young adults,"Bhagaban Behera, Sriharsha Shetty, Nakul Kelkar",Better Capital,330000.0,Pre-seed,2020
612,Arth Designbuild,2016,Hyderabad,Industrials,Construction technology and solutions provider,Swapnil Sahu,"Startup-O, Eden Ventures",1100000.0,Venture - Series Unknown,2020
613,goDutch,2016,Mumbai,Financials,Group Payments platform,"Aniruddh Singh, Riyaz Khan, Sagar Sheth","Matrix India, Y Combinator, Global Founders Capital, Soma Capital, VentureSouq",1700000.0,Seed,2020
614,Rusk Media,2019,Delhi,Communication Services,It creates video content,Mayank Yadav,"InfoEdge Venture Fund, Sprout Venture Partners",937536.0,Seed,2020
615,Bold Care,2019,Mumbai,Consumer Staples,Digital platform that offers sexologist consultations for men,"Rajat Jadhav, Rahul Krishnan, Harsh Singh, Mohit Yadav","Rajesh Ranavat, Abhishek Shah, Sheetal Bahl, Manu Rikhye, Ashish Taneja, Kabir Kochhar, Mohit Satyanand",330000.0,Pre-seed,2020
616,Samosa Party,2017,Bengaluru,Consumer Staples,Provides quality Indian Snacks,Amit Nanwani,Inflection Point Ventures,4000000.0,Venture - Series Unknown,2020
617,High Street Essentials,2012,Delhi,Consumer Discretionary,The parent company of women's fashion brands FabAlley and Indya,"Shivani Poddar, Tanvi Malik","SAIF Partners, India Quotient",2743000.0,Early stage,2020
618,Byju,2011,Bengaluru,Information Technology,Provides online learning classes,Byju Raveendran,BOND,4000000.0,Venture - Series Unknown,2020
619,Slice,2016,Bengaluru,Financials,A financial platform for youngsters,Rajan Bajaj,Gunosy,6082000.0,Early stage,2020
620,Bombay Play,2016,Bengaluru,Information Technology,It designs and creates online multiplayer games,"Abhas Saroha, Oliver Jones","Leo capital, Ramakant Sharma",1500000.0,Early stage,2020
621,Fullife,2011,Mumbai,Consumer Staples,It sells sports nutrition supplements through a brand called Fast&Up,Varun Khanna,Amansa Capital,6609000.0,Venture - Series Unknown,2020
622,Oziva,2016,Gurugram,Consumer Staples,Clean Label Active Nutrition Brand,"Aarti Gill, Mihir Gadani",Matrix Partners,5000000.0,Early stage,2020
623,Aye Finance,2014,Gurugram,Financials,A finance lender to SMEs,"Vikram Jetley, Sanjay Sharma","Capital G, Alphabet's Independent growth fund",27700000.0,Late stage,2020
624,Aether Biomedical,2016,Delhi,Health Care,"Medical robotics startup, focussed on developing rehabilitation devices","Dhruv Agrawal, Faith Jiwakhan",Chiratae ventures,937536.0,Seed,2020
625,91springboard,2012,Delhi,Real Estate,It offers collaborative workspace with varied amenities,"Vemuri, Deepak Sharma, Pranay Gupta, Varun Chawla","Pearl Brook Holdings Ltd, Al Nour International Holdings Co.",5940000.0,Venture - Series Unknown,2020
626,Yulu,2016,Kolkata,Consumer Discretionary,The electric and scooter rental startup,Amit Gupta,Rocketship,3964000.0,Venture - Series Unknown,2020
627,Milkbasket,2015,Gurugram,Industrials,Hyperlocal delivery service startup,Anant Goel,Inflection Point Ventures,5500000.0,Venture - Series Unknown,2020
628,MergerDomo,2018,Noida,Real Estate,Global online corporate deal sourcing and consulting marketplace,"Hormazd Charna, Manoj Mishra","Nadir Godrej, Individual Investors",197000.0,Venture - Series Unknown,2020
629,GoMechanic,2016,Delhi,Information Technology,Find automobile repair and maintenance service providers,"Amit Bhasin, Kushal Karwa, Nitin Rana, Rishabh Karwa",Pawan Munjal,4000000.0,Early stage,2020
630,Milk Mantra,2009,Odisha,Consumer Staples,Produces Dairy Products,Srikumar Misra,US International Development Finance Corporation,10000000.0,Venture - Series Unknown,2020
631,MyGlamm,2015,Mumbai,Consumer Discretionary,On-demand beauty services provider,Darpan Sanghvi,"Tano India, L’Occitane, Bessemer",4327000.0,Venture - Series Unknown,2020
632,Drishti Technologies,2016,Bengaluru,Information Technology,"AI-based video analytics, data, and insights bring benefits to manufacturers",Prasad Akella,Sozo Ventures,25000000.0,Early stage,2020
633,Instasolv,2019,Noida,Information Technology,It is a doubt-solving app for students from Class 6 to 12,"Aditya Singhal, Nishant Sinha, Bahul Arora",Undisclosed,2000000.0,Early stage,2020
634,GoldenPi,2017,Bengaluru,Financials,An online aggregator of bonds and debentures available in the secondary market,"Abhijit Roy, Samir Pratihar",Rainmatter Capital,459000.0,Venture - Series Unknown,2020
635,Peppermint,2020,Mumbai,Industrials,Industrial robotics startup,"Runal Dahiwade, Nityanand Prabhutendolkar, Miraj C. Vora","Venture Catalysts, Naveen Kshatriya,",937536.0,Seed,2020
636,Sarva,2016,Mumbai,Consumer Staples,It drives a cultural change in making yoga-based wellness a part of modern lifestyle,Sarvesh Shashi,Shikhar Dhawan,4000000.0,Venture - Series Unknown,2020
637,Jai Kisan,2017,Mumbai,Financials,A platform that caters the need of customers in rural areas,"Arjun Ahluwalia, Adriel Maniego","Arkam Ventures, Nabventures",3937000.0,Early stage,2020
638,Agro2o,2016,Delhi,Industrials,It develops products focused on making hydroponics-based farming,Yash Vyas,Mumbai Angels Network,4000000.0,Venture - Series Unknown,2020
639,LetsTransport,2015,Bengaluru,Information Technology,Offers techno logistics solutions,"Pushkar Singh, Sudarshan Ravi, Ankit Parasher",Stride Ventures,1313500.0,Venture - Series Unknown,2020
640,GabbarDeals,2016,Pune,Consumer Discretionary,Online-to-Offline platforms for mobile phones & accessories,"Niraj Raka, Poonam Gugale, Piyush Raka",Venture Catalysts,4000000.0,Venture - Series Unknown,2020
641,Crimson Healthcare,2015,Delhi,Information Technology,It innovates cutting edge solutions for various problems in the healthcare system,"Pranav Chopra, Neeraj Kumar",Mumbai Angels Network,229800.0,Venture - Series Unknown,2020
642,Biomoneta,2016,Bengaluru,Health Care,It develops germicidal technologies,Dr Janani Venkatraman,"Beyond Next Ventures, ArthaVida Ventures, Dr Aniruddha Malpani",937536.0,Seed,2020
643,Edvizo,2016,Bengaluru,Information Technology,"Online marketplace to search, compare and enrol in the best institutes for competitive exam preparation",Ravi Nishant,Inflection Point Ventures,150000.0,Seed,2020
644,Servify,2016,Mumbai,Information Technology,Operates device management and support platform,Sreevathsa Prabhakar,"Iron Pillar, Blume Ventures",11370000.0,Late stage,2020
645,Drum Food,2016,Mumbai,Consumer Staples,It runs yoghurt brand Epigamia,"Rohan Mirchandani, Ganesh Krishnamurthy, Rahul Jain,Uday Thakkar.","Danone Manifesto, Mousse Partners",5305000.0,Venture - Series Unknown,2020
646,Innoviti,2002,Bengaluru,Information Technology,Digital payments solutions company,Rajeev Agrawal,"Entrepreneurial Development Bank, Bessemer Venture Partners",42000000.0,Late stage,2020
647,Jiffy ai,2018,Bengaluru,Information Technology,Enterprise automation startup,Babu Sivadasan,Nexus Venture Partners,18000000.0,Early stage,2020
648,Postman,2014,Jodhpur,Information Technology,API development platform startup,"Abhijit Kane, Abhinav Asthana, Ankit Sobti",Insight Partners,150000000.0,Late stage,2020
649,F5,2018,Haryana,Consumer Discretionary,It provides opportunities for its partner vendors to upsell and cross-sell their products.,"Raghav Arora, Lalit Kumar Aggarwal",Venture Catalysts,4000000.0,Venture - Series Unknown,2020
650,WayCool,2015,Chennai,Industrials,Food development and distribution services,"Karthick Jayraman, Sanjay Dasari",Induslnd Bank,5500000.0,Late stage,2020
651,Myelin Foundry,2019,Chennai,Information Technology,"It builds AI based algorithms on video, voice and sensor","Dr Gopichand Katragadda, Ganesh Suryanarayanan, Aditi Olemann.",Pratithi,4000000.0,Venture - Series Unknown,2020
652,Ameliorate Biotech,2016,Bengaluru,Health Care,"Their products address the needs in Early Stage Diagnostics, Bio-Similars and Nutraceuticals.","Dr Binita Shrivastava Tunga, Dr Rashbehari Tunga","PadUp, Villgro USA, Vinners, LetsVenture, SINE IIT Bombay, DERBI",264000.0,Seed,2020
653,Hapramp,2018,Gurugram,Information Technology,Startup working on technologies like blockchain and social media,"Shubhendra Vikram, Ankit Kumar",Anand Mahindra,1000000.0,Venture - Series Unknown,2020
654,MyKaam,2016,Bengaluru,Industrials,Online job searching and recruiting platform,Ashish Gupta,"Dr Apoorva Ranjan Sharma, Mrunal Jhaveri, Nirav Panchmatia, Vikas Kapoor, Karan Garg",4000000.0,Venture - Series Unknown,2020
655,HealthPlix,2016,Bengaluru,Consumer Staples,It provides clinical software for doctors,"Raghuraj Sunder Raju, Prasad Basavaraj, Sandeep Gudibanda","JSW Ventures, Chiratae Ventures, Kalaari Capital",6000000.0,Early stage,2020
656,YoloBus,2019,Gurugram,Consumer Discretionary,Intercity bus service startup,"Shailesh Gupta, Mukul Shah",Nexus Venture Partners,3300000.0,Early stage,2020
657,iNurture Education,2016,Mumbai,Information Technology,"It provides a conducive and healthy teaching, learning environment",Ashwin Ajila,Kimera Ltd,4000000.0,Venture - Series Unknown,2020
658,Pocket52,2017,Bengaluru,Information Technology,An online poker playing platform,Nitesh Salvi,Gameskraft,1750000.0,Early stage,2020
659,QuaQua,2016,Hyderabad,Consumer Discretionary,Virtual travel guide platform,"Purav Shah, Sandesh Reddy",Anthill Ventures,1000000.0,Venture - Series Unknown,2020
660,Crofarm,2016,Delhi,Industrials,Supply chain that supports farmers and provides businesses with freshest produce,"Prashant Jain, Varun Khurana",Smile group,1000000.0,Venture - Series Unknown,2020
661,Timios,2016,Bengaluru,Consumer Staples,Provides healthy snacks for kids,Aswani Chaitanya,Rangsons Technologies,4000000.0,Early stage,2020
662,WoodenStreet,2015,Jaipur,Consumer Discretionary,It enables to order custom furniture online,"Lokendra Ranawat, Dinesh Pratap Singh, Virendra Ranawat, Vikas Baheti",IAN Fund,3000000.0,Early stage,2020
663,BankBazaar,2008,Chennai,Financials,Online marketplace that gives customers instant customised offers on loans and credit cards,"Adhil Shetty, Arjun Shetty, Rati Shetty",WSV Capital,5967000.0,Late stage,2020
664,Rentmojo,2012,Bengaluru,Real Estate,"Rental platform for furniture, appliances & electronics",Geetansh Bamania,"Gautam Dalmia, Pratithi Investment Trust, Shri Investment",2980000.0,Venture - Series Unknown,2020
665,Credgencies,2018,Gurugram,Information Technology,Tech-enabled platform for resolution of non-performing assets,"Rishabh Goel, Anand Agrawal, Mayank Khera",Titan Capital,937536.0,Seed,2020
666,Knorish,2016,Delhi,Information Technology,All-in-one knowledge commerce SaaS platform,"Kinner N Sacchdev, Rakhi Wadhwa",100x VC,323000.0,Early stage,2020
667,LetsTransport,2015,Bengaluru,Information Technology,Offers techno logistics solutions,"Pushkar Singh, Sudarshan Ravi, Ankit Parasher",Blacksoil,1326000.0,Venture - Series Unknown,2020
668,Vahak,2017,Hyderabad,Industrials,It enables logistic companies to conncet with transporters,"Karan Shaha, Vikas Chandrawat","Leo Capaitals, Amit Gupta, Abhishek Goyal, Ramakant Sharma, Harsh Pokhran",937536.0,Seed,2020
669,Nutrova,2013,Mumbai,Consumer Staples,"Nutraceutical company developing evidence-based nutrition and nutraceutical products,",Akshay Pai,DSG Consumer Partners,4000000.0,Early stage,2020
670,Cube Wealth,2018,Mumbai,Information Technology,A digital wealth management services,"Satyen Kothari, Beenext, Asuka Holding","Beenext, Asuka Holding",500000.0,Late stage,2020
671,IVF Access,2019,Bengaluru,Consumer Staples,It provdes IVF treatments,"Naresh Rao, Nikhil Rajmohan, Harinath Chakravarthy, Pravin Sethuraman",Vertex Ventures SEA & India,5000000.0,Early stage,2020
672,Hoi Foods,2017,Delhi,Consumer Staples,Quality food solution,Indrajeet Roy,Crowd Fund,2000000.0,Early stage,2020
673,Ola Financial Services,2016,Bengaluru,Financials,It operates Ola Money,Bhavish Aggarwal,Matrix Partners,27000000.0,Early stage,2020
674,Awifs,2015,Delhi,Real Estate,Provides office space solutions,Amit Ramani,"Bisque Limited, Link Investment Trust.",5200000.0,Venture - Series Unknown,2020
675,Dunzo,2014,Bengaluru,Industrials,India-based hyperlocal delivery startup,"Kabeer Biswas, Mukund Jha, Dalvir Suri, Ankur Aggarwal",Undisclosed,55000000.0,Venture - Series Unknown,2020
676,Swiflearn,2019,Gurugram,Information Technology,Learning platform for K-10 students looking for personalised learning,"Abhinav Agarwal, Anand Bakode","Stellaris Venture Partners, Venture Highway",937536.0,Seed,2020
677,Remedo,2017,Delhi,Consumer Staples,The platform connects doctors with patients,"Dr Ruchir Mehra, Harsh Bansal, Richeek Arya",River Rock Ventures. Inflection Point Ventures,4000000.0,Early stage,2020
678,Blowhorn,2014,Bengaluru,Industrials,Tech platform that connects logistics service seekers with mini-truck drivers,"Mithun Srivatsa, Nikhil Shivaprasad",Trifecta Capital,4000000.0,Venture - Series Unknown,2020
679,Toch,2016,Mumbai,Information Technology,"Helps online video creators, media companies, advertisers, and OTT platforms optimise their videos","Vinayak Srivastav, Saket Dandotia, Alok Patil","Chinaccelerator, 9 Unicorns Fund, Inflection Point Ventures",1000000.0,Early stage,2020
680,Gram Cover,2016,Noida,Information Technology,It provides insurance products in rural areas,Jatin Singh,"EMVC, Flourish, Omidyar Network India",4000000.0,Early stage,2020
681,CoinDCX,2018,Mumbai,Information Technology,Hybrid crypto exchange platform,"Sumit Gupta, Neeraj Khandelwal",Polychain Capital,2500000.0,Venture - Series Unknown,2020
682,HomeCapital,2016,Mumbai,Financials,Home Down Payment Assistance Program,Lalit Menghani,Varanium NexGen Fund,4000000.0,Venture - Series Unknown,2020
683,Euler Motors,2016,Delhi,Consumer Discretionary,Startup focusses on electric vehicles,Saurav Kumar,Inventus III India Fund,2530000.0,Early stage,2020
684,Riskcovry,2018,Mumbai,Information Technology,Offers various insurance products,"Suvendu Prusty, Sorabh Bhandari, Chiranth Patil.","Bharat Inclusion Seed Fund, Varanium Capital, and Better Capital",4000000.0,Early stage,2020
685,NWNT (No Worry No Tension Healthcare),2016,Delhi,Consumer Staples,Mental healthtech startup,Sandeep Vohra,Amit Burman,4000000.0,Early stage,2020
686,Voicezen,2016,Gurugram,Information Technology,Conversational AI startup,Anurba Nath,Bharti Airtel,4000000.0,Venture - Series Unknown,2020
687,Leap Club,2016,Delhi,Information Technology,Community led professional network for women,"Ragini Das, Anand Sinha","Whiteboard Capital, FirstCheque, Artha India Ventures, Sweta Rau, Deepak Abbot, Amrish Rau, Harpreet Singh Grover",340000.0,Pre-seed,2020
688,CreditMantri,2012,Chennai,Financials,Offers free credit score and a detailed credit analysis report,"Gowri Mukherjee, Ranjit Punja, Rajasundaram Sudarshan","IDG Ventures, Elevar Equity, Accion",792000.0,Venture - Series Unknown,2020
689,Xtracap,2016,Gurugram,Financials,"Offers online payment solution,schemes, order management, insurance etc.,",Mohammed Riaz,Angel investors,1000000.0,Venture - Series Unknown,2020
690,Tring,2019,Mumbai,Communication Services,Celebrity engagement platform,"Akshay Saini, Rahul Saini, Pranav Chabhadia","Kalyan Krishnamurthy, Sujeet Kumar, Keshav Sanghi, Roman Saini, Sumit Jain, Hemesh Singh",4000000.0,Venture - Series Unknown,2020
691,Vakilsearch,2010,Chennai,Information Technology,"Online platform for legal, tax and compliance services",Hrishikesh Datar,Sujeet Kumar,4000000.0,Venture - Series Unknown,2020
692,Khatabook,2016,Bengaluru,Financials,It helps SMEs to maintain their accounts and ledger online.,Ravish Naresh,B Capital Group,60000000.0,Early stage,2020
693,LendingKart,2014,Ahmedabad,Financials,Provides working capital loans and business loans to MSMEs,"Harshvardhan Lunia, Mukul Sachan","Fullerton Financial Holdings, Bertelsmann India Investments, Sistema Asia Fund, IndiaQuotient",11363000.0,Late stage,2020
694,Illumnus,2016,Bengaluru,Information Technology,Offers Collaborative learning management system for educational institutions,"Akash Deep Singhal, Akshaya Singhal",Angel investors. HNI,100000.0,Seed,2020
695,LetsTransport,2015,Bengaluru,Information Technology,Offers techno logistics solutions,"Pushkar Singh, Sudarshan Ravi, Ankit Parasher",Innoven Capital,1715000.0,Venture - Series Unknown,2020
696,Eggoz,2017,Bihar,Industrials,"Provides technology backed, deep integration services to egg farmers",Uttam Kumar,"Tracxn Labs, Angellist, Tri-Deep Capital",329000.0,Seed,2020
697,Winuall,2018,Bengaluru,Information Technology,It helps coaching institutes in digitization,Ashwini Purohit,"Ankit Bhati, Nitin Gupta",4000000.0,Venture - Series Unknown,2020
698,Indian School Finance Company,2016,Hyderabad,Financials,NBFC that provides funding to education system,Unknown,Gray Matters Capital,5271000.0,Seed,2020
699,Juicy Chemistry,2014,Thane,Consumer Discretionary,It focuses on organic based skincare products,Pritesh Asher,Akya Ventures,650000.0,Early stage,2020
700,DeepTek,2018,Pune,Consumer Staples,AI enabled radiology platform,"Amit Kharat, Ajit Patil, Aniruddha Pant",GHV Accelerator,4000000.0,Venture - Series Unknown,2020
701,Stepathlon Lifestyle,2012,Mumbai,Consumer Discretionary,It organises corporate wellness programs,"Krishnan, Shane Bilsborough","Josh Liberman, Mark Adams",4000000.0,Venture - Series Unknown,2020
702,Sindhuja Microcredit,2018,Noida,Financials,It provides financial services to self employed women entrepreneurs,"Abhisheka Kumar, Malkit Didyala",Nordic Microfinance Initiative,8700000.0,Venture - Series Unknown,2020
703,Rentmojo,2012,Bengaluru,Real Estate,"Rental platform for furniture, appliances & electronics",Geetansh Bamania,"Chiratae Ventures, Accel Partners, BCIP Venture Associates, Bain Capital, Renaud Laplanche",3226000.0,Venture - Series Unknown,2020
704,Tesco Charge Zone,2016,Gujarat,Utilities,Operates electric vehicle charging zone,Kartikey Hariyani,Mumbai Angels Network,4000000.0,Venture - Series Unknown,2020
705,Intello Labs,2016,Gurugram,Industrials,Standardisation and Quality control of fruits & vegetables,"Milan Sharma, Nishant Mishra, Himani Shah, Devendra Chandani",Saama Capital,5900000.0,Early stage,2020
706,SirionLabs,2012,Gurugram,Information Technology,"Provides procurement, outsourcing services & contract management software",Ajay Agrawal,"Tiger Global, Avatar Growth Capital",44000000.0,Late stage,2020
707,Magicpin,2015,Bengaluru,Consumer Discretionary,"It is a local discovery, rewards, and commerce platform","Anshoo Sharma, Brij Bhushan",Lightspeed Venture Partners,3879000.0,Venture - Series Unknown,2020
708,GroCurv,2019,Gurugram,Consumer Discretionary,"It offers a wide range of business related services like Branding, marketing, sales etc.,","Venkatesh Rangachari, Vipul Gupta",Unicorn Investments Pte Ltd,937536.0,Seed,2020
709,Refrens,2019,Bengaluru,Information Technology,"Offers a free invoicing, payments and expense management system","Naman Sarawagi, Mohit Jain","Vijay Shekhar Sharma, Anupam Mittal",1000000.0,Seed,2020
710,Shiprocket,2017,Gurugram,Information Technology,Tech enabled logistics aggregator,Saahil Goel,"Tribe Capital, Innoven Capital, BII",13000000.0,Late stage,2020
711,Spyne,2016,Gurugram,Information Technology,Helps online businesses with visual content,"Sanjay Kumar, Deepti Prasad","Angellist, Smile Group, Manish Amin, Anil Goel, Anubhav Sonthalia, Deepak Mittal",4000000.0,Early stage,2020
712,Nykaa,2012,Mumbai,Consumer Discretionary,Deals in cosmetic and wellness products,Falguni Nayar,Steadview Capital,8800000.0,Venture - Series Unknown,2020
713,Docsapp,2015,Bengaluru,Consumer Staples,Online doctor consultation app,Satish Kannan,"Bessemer Venture Partners India, Fusian Capital, Rebright Partners, Milliways Fund LLC",9500000.0,Venture - Series Unknown,2020
714,Phable,2018,Gurugram,Consumer Staples,"It creates an engagement loop between doctors, hospitals, and patients via its app","Sumit Sinha, Mukesh Bansal",Inflection Point Ventures,1000000.0,Early stage,2020
715,Generic Aadhaar,2016,Delhi,Health Care,It provides a platform for entrepreneurs to access generic medicine at low cost,Arjun Deshpande,Ratan Tata,4000000.0,Venture - Series Unknown,2020
716,Nium,2016,Delhi,Financials,Open global money platform,Prajit Nanu,"VisaVentures, BRI Ventures",4000000.0,Venture - Series Unknown,2020
717,Mintoak,2016,Mumbai,Financials,Merchant payment solutions startup,"Raman Khanduja, Sanjay Nazareth",Pravega Ventures,2000000.0,Early stage,2020
718,VestSpace,2018,Pune,Information Technology,It builds small satellite paltforms,Arun Kumar Sureban,Next Capital,10000000.0,Venture - Series Unknown,2020
719,Blackbuck,2015,Bengaluru,Industrials,Provides trucking services,Rajesh Yabaji,Trifecta Venture,4000000.0,Venture - Series Unknown,2020
720,Vernacular ai,2016,Bengaluru,Information Technology,It offers Multiligual AI platform,"Gupta, Akshay Deshraj, Manoj Sarda","Exfinity Ventures, IAN Fund",5100000.0,Early stage,2020
721,Clover,2016,Bengaluru,Industrials,Provides agricultural solution to farmers working in the greenhouse production of vegetables and fruits,"Avinash BR, Gururaj Rao, Arvind Murali, Santhosh Narasipura",Alteria Capital,920000.0,Venture - Series Unknown,2020
722,Varthana,2016,Bengaluru,Financials,Offers secured and unsecured loans,Steve Hardgrave,ChrysCapital,15000000.0,Late stage,2020
723,Codeninja,2016,Bengaluru,Information Technology,AI-powered 'no-code' platform which can generate application development code,"Prashanth Kuppur, Deepak Kalhan, Saurabh Kukreti, Richpal Gora","Hari Balasubramanian, EaSyndicate",937536.0,Seed,2020
724,MetaMerphoSys,2016,Pune,Financials,Digital insurance platform for businesses,"Amit Naik, Kewal Vargante",Good Capital,4000000.0,Early stage,2020
725,Rooter,2016,Delhi,Information Technology,Live sports engagement platform,"Piyush, Dipesh Agarwal","Paytm, leAD Sports, Rockstud Capital, Founder Bank Capital",1700000.0,Early stage,2020
726,Aker Foods,2019,Pune,Consumer Staples,Ai driven supply chain platform,Suraj Saste,Mumbai Angels Network,4000000.0,Venture - Series Unknown,2020
727,Sascan Meditech pvt ltd,2015,Kerala,Consumer Staples,They are developing technology that can detect early cancerous cells,Dr Subhash Narayanan,Unicorn India Ventures,4000000.0,Venture - Series Unknown,2020
728,DailyHunt,2009,Bengaluru,Communication Services,News aggregator,Virendra Gupta,Lupa India,35600000.0,Venture - Series Unknown,2020
729,Pratilipi,2014,Bengaluru,Communication Services,A digital platform that connects readers and writers in various languages,"Ranjeet Pratap Singh, Sankaranarayanan Devarajan, Sahradayi Modi, Rahul Ranjan, Prashant Gupta",Tencent,9400000.0,Late stage,2020
730,Biryani By Kilo,2016,Delhi,Consumer Staples,Online paltform to order biryani,Vishal Jindal,"Devanshu Dolat Desai, Anand M Khatau, Debasish Priyadarshi Purohit, Kaushik Shanghvi",790000.0,Early stage,2020
731,Consure Medical,2016,Delhi,Consumer Staples,"Novel platform technologies to manage, diagnose, and treat various GI disorders","Nishith Chasmawala, Amit Sharma","Accel Partners, Jungle Ventures",480000.0,Venture - Series Unknown,2020
732,Servify,2016,Bengaluru,Information Technology,It is a technology company which serves as a platform for brands to offer end-to-end solutions to their users,Sreevathsa Prabhakar,Barkawi,250000.0,Venture - Series Unknown,2020
733,Tessol,2016,Mumbai,Industrials,It provides end to end cold chain logistics solutions,Rajat Gupta,1Funds Domestic Scheme,160000.0,Early stage,2020
734,Remedo,2016,Noida,Consumer Staples,"It helps doctors engage with patients, improve patient experience",Harsh Bansal,RiverRock Ventures,4000000.0,Early stage,2020
